Continent,Nationality,Type of data,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Europe,Serbia,Immigration,,,,,,,,,,,,0,2,8,8,16,18,27,33,41,48,56,57,88,72,536,579,726
Europe,Serbia and Montenegro,Immigration,,,,,,,,,46,25,18,20,24,24,18,30,26,29,26,40,59,81,96,124,226,0,0,0
Europe,Slovenia,Immigration,6,8,2,4,1,3,1,1,3,2,6,14,10,11,8,22,29,32,64,156,138,161,192,224,238,246,339,348
Europe,Slovakia,Immigration,2,9,8,7,14,40,53,22,15,35,35,26,59,68,53,83,72,126,132,209,274,425,532,758,904,1543,1897,1922
Europe,Soviet Union (old),Immigration,1897,2061,1918,2373,2724,5383,5319,4124,3057,2312,2050,1978,2214,2684,2865,3295,3363,3209,2847,3087,3093,3178,3505,3978,4471,0,0,0
Europe,Spanje,Immigration,803,993,1167,1210,1248,1301,1358,1426,1301,1292,1289,1398,1564,2217,2413,2815,3242,4063,4584,4255,4197,4431,4887,5455,6328,5034,7241,8463
Europe,Tadzjikistan,Immigration,1,1,3,2,5,2,8,7,0,2,0,0,2,3,1,4,9,7,9,9,5,11,13,11,8,26,25,133
Europe,Tsjechië,Immigration,28,29,28,43,29,31,51,27,29,47,42,50,52,83,75,111,121,124,165,219,232,306,387,452,583,875,1001,1081
Europe,Tsjecho-Slowakije (oud),Immigration,225,361,399,585,434,675,678,529,425,922,954,1095,1139,1566,1300,1631,1581,1391,1362,1521,1350,1219,1256,1299,1201,0,0,0
Europe,Turkije,Immigration,5104,6662,6705,5981,5274,5799,6440,6554,7067,4843,3704,3586,3434,4703,4859,5245,4827,4658,4728,4605,4855,5784,7164,8055,9616,7936,10650,16322
Europe,Turkmenistan,Immigration,0,0,0,2,0,0,0,3,0,2,0,0,0,2,4,2,0,1,1,1,2,6,6,9,17,18,28,433
Europe,Vaticaanstad,Immigration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,Verenigd Koninkrijk,Immigration,3514,4512,4520,4582,4884,5664,5614,4536,3839,3481,3023,3409,3787,4449,4165,4147,4180,4392,4687,4843,5323,6021,6574,7233,8298,7136,4191,4329
Europe,Belarus,Immigration,2,3,8,7,14,21,21,24,26,25,24,17,12,13,14,28,28,28,41,54,55,76,76,113,166,277,440,940
Europe,Zweden,Immigration,377,532,530,636,663,573,495,480,423,402,416,499,511,592,589,637,735,756,692,787,885,880,922,1013,1066,775,967,1087
Europe,Zwitserland,Immigration,315,342,403,385,466,373,352,329,290,296,301,371,390,444,430,513,543,532,569,639,644,793,882,933,1035,716,1033,1137
Africa,Algeria,Immigration,456,391,342,366,323,346,272,253,161,151,111,131,129,184,139,141,179,139,140,166,170,175,193,239,228,198,220,650
Africa,Angola,Immigration,706,530,367,348,735,1310,1995,3643,1199,367,173,132,154,190,164,178,174,172,158,149,120,202,163,233,233,210,205,225
Africa,Benin,Immigration,13,14,14,21,15,18,45,86,53,38,24,13,25,18,25,29,29,25,33,17,27,29,24,17,25,19,21,18
Africa,Botswana,Immigration,10,20,13,19,15,13,10,21,6,13,13,12,14,13,14,15,12,9,13,12,10,14,17,22,26,17,30,19
Africa,British Indian Ocean Territory,Immigration,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Africa,Burkina Faso,Immigration,22,25,36,22,47,34,33,25,32,37,27,25,23,22,45,32,37,14,31,18,20,25,16,26,29,25,20,29
Africa,Burundi,Immigration,31,43,76,105,107,222,365,444,368,340,441,339,278,155,124,57,46,50,58,46,93,59,77,67,53,35,48,50
Africa,Central-African Republic,Immigration,2,6,4,3,7,4,10,2,4,3,6,7,2,1,7,3,3,3,3,5,7,3,8,10,11,3,7,4
Africa,Comoros,Immigration,3,0,1,3,2,0,4,1,4,1,1,0,2,0,3,0,1,0,2,0,0,1,0,0,2,0,1,3
Africa,Congo,Immigration,79,40,46,61,102,228,301,209,117,57,84,78,50,64,68,62,68,52,94,65,49,26,30,37,49,20,31,38
